i;prices_koCall;prices_kiCall;prices_koPut;prices_kiPut;richardson_koCall;richardson_kiCall;richardson_koPut;richardson_kiPut;cv_koCall;cv_kiCall;cv_koPut;cv_kiPut;
0;0;-1.#IND;0;-1.#IND;9.38454;-1.#IND;10.3802;-1.#IND;-1.#IND;-1.#IND;-1.#IND;-1.#IND;
72;2.45102;1.28605;3.07333;1.16125;2.27389;1.43344;2.89919;1.30564;2.43804;1.27308;3.06035;1.14827;
73;2.17633;1.5414;3.2424;0.972856;2.50834;1.21869;2.69137;1.53316;2.18269;1.54776;3.24874;0.979202;
74;2.41051;1.3263;3.03367;1.20065;2.23547;1.47291;2.86101;1.34487;2.39779;1.31359;3.02095;1.18792;
75;2.13641;1.58097;3.20472;1.01017;2.47036;1.25778;2.65207;1.57358;2.14312;1.58769;3.21143;1.01688;
76;2.37102;1.36553;2.99487;1.2392;2.19806;1.5113;2.8237;1.38317;2.35856;1.35307;2.9824;1.22673;
77;2.54873;1.16831;3.1677;1.04686;1.98305;1.74613;2.61383;1.61286;2.55578;1.17536;3.17474;1.0539;
78;2.33254;1.40377;2.95691;1.27692;2.16164;1.54864;3.38894;0.818844;2.32033;1.39155;2.94468;1.26469;
79;2.51114;1.20557;3.13132;1.0829;1.94671;1.78344;3.17989;1.04777;2.51853;1.21295;3.13869;1.09027;
80;2.29504;1.44102;2.91978;1.3138;2.74048;0.970648;3.35631;0.852326;2.28307;1.42905;2.9078;1.30182;
81;2.47437;1.24203;3.09561;1.11831;2.52605;1.20499;3.14643;1.08212;2.48206;1.24972;3.10329;1.12599;
82;2.2585;1.47733;2.88347;1.34987;2.7064;1.00554;3.32403;0.885413;2.24676;1.4656;2.87172;1.33813;
83;2.4384;1.27771;3.06054;1.15309;2.49211;1.23977;3.11349;1.1159;2.44638;1.28569;3.06851;1.16106;
84;2.22288;1.51271;2.84796;1.38515;2.67282;1.03987;3.29211;0.918089;2.21138;1.50121;2.83645;1.37364;
85;2.40321;1.31262;3.02613;1.18722;2.45883;1.27383;3.08106;1.14911;2.41147;1.32088;3.03438;1.19547;
86;2.18818;1.54719;3.2237;1.00918;2.63976;1.07364;2.85092;1.35999;2.1769;1.53591;3.21242;0.997896;
87;2.3688;1.34677;2.99236;1.22073;2.42618;1.30721;3.04914;1.18175;2.37732;1.35529;3.00087;1.22924;
88;2.57271;1.16243;3.19151;1.04115;2.18971;1.52436;2.81801;1.39356;2.56166;1.15138;3.18045;1.03009;
89;2.33514;1.38017;2.95922;1.25361;2.39417;1.3399;3.01775;1.21383;2.34392;1.38895;2.96799;1.26238;
